Title,URL,Exam_Date,degree,examCode,etype,type,result,grad,Regulation,Is_Supplementary,Exam_Type,Year,Semester
RC/RV B.Tech I Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1802&etype=r17&result=gradercrv&type=rcrvintgrade,06-OCT-2024,btech,1802,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,I,II
RC/RV B.Tech I Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1803&etype=r17&result=gradercrv&type=rcrvintgrade,06-OCT-2024,btech,1803,r17,rcrvintgrade,gradercrv,,R22,No,Regular,I,I
RC/RV B.Tech I Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1804&etype=r17&result=gradercrv&type=rcrvintgrade,06-OCT-2024,btech,1804,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,I,I
RC/RV B.Tech I Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1805&etype=r17&result=gradercrv&type=rcrvintgrade,06-OCT-2024,btech,1805,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,I,I
RC/RV B.Tech I Year (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1806&etype=rcrv,06-OCT-2024,btech,1806,rcrv,,,,R15,Yes,Supplementary,Unknown,Unknown
RC/RV B.Tech I Year (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1807&etype=rcrv,06-OCT-2024,btech,1807,rcrv,,,,R13,Yes,Supplementary,Unknown,Unknown
B.Tech III Year II Semester (R18) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1823&etype=r17&type=intgrade,06-OCT-2024,btech,1823,r17,intgrade,,,R18,No,Regular,III,II
B.Tech III Year II Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1824&etype=r17&type=intgrade,06-OCT-2024,btech,1824,r17,intgrade,,,R16,Yes,Supplementary,III,II
B.Tech III Year II Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1825,06-OCT-2024,btech,1825,,,,,R15,Yes,Supplementary,III,II
B.Tech III Year II Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1826,06-OCT-2024,btech,1826,,,,,R13,Yes,Supplementary,III,II
III B.Tech Year II Semester (R18) (Minor degree) Regular Examinations AUGUST-2024 Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1827&etype=r17&type=intgrade,06-OCT-2024,btech,1827,r17,intgrade,,,R18,No,Regular,Tech,II
B.Tech III Year I Semester (R18) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1828&etype=r17&type=intgrade,06-OCT-2024,btech,1828,r17,intgrade,,,R18,Yes,Supplementary,III,I
B.Tech III Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1829&etype=r17&type=intgrade,06-OCT-2024,btech,1829,r17,intgrade,,,R16,Yes,Supplementary,III,I
B.Tech III Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1830,06-OCT-2024,btech,1830,,,,,R15,Yes,Supplementary,III,I
B.Tech III Year I Semester (R13) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1831,06-OCT-2024,btech,1831,,,,,R13,Yes,Supplementary,III,I
III B.Tech Year I Semester (R18) (Minor degree) Supplementary Examinations AUGUST-2024 Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1832&etype=r17&type=intgrade,06-OCT-2024,btech,1832,r17,intgrade,,,R18,Yes,Supplementary,Tech,I
RC/RV B.Tech IV Year II Semester (R18) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1808&etype=r17&result=gradercrv&type=rcrvintgrade,22-SEP-2024,btech,1808,r17,rcrvintgrade,gradercrv,,R18,Yes,Supplementary,IV,II
RC/RV B.Tech IV Year II Semester (R16) Advance Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1809&etype=r17&result=gradercrv&type=rcrvintgrade,22-SEP-2024,btech,1809,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,IV,II
